time,eye_len
2023-07-20 21:53:52.489697,2
2023-07-20 21:53:52.566822,2
2023-07-20 21:53:52.681517,2
2023-07-20 21:53:53.043109,2
2023-07-20 21:53:53.149097,2
2023-07-20 21:53:53.244123,2
2023-07-20 21:53:53.479465,2
2023-07-20 21:53:54.411028,2
2023-07-20 21:53:54.509876,2
2023-07-20 21:53:54.741614,2
2023-07-20 21:53:54.973344,2
2023-07-20 21:53:55.174581,2
2023-07-20 21:53:55.272997,2
2023-07-20 21:53:55.613220,2
2023-07-20 21:53:55.978205,2
2023-07-20 21:53:56.244762,2
2023-07-20 21:53:57.032164,2
2023-07-20 21:53:57.404825,2
2023-07-20 21:53:57.505534,2
2023-07-20 21:53:57.611771,2
2023-07-20 21:53:58.072966,1
2023-07-20 21:53:58.133396,0
2023-07-20 21:53:58.271986,0
2023-07-20 21:53:58.332856,0
2023-07-20 21:53:58.561769,3
2023-07-20 21:53:58.692847,2
2023-07-20 21:53:58.763559,1
2023-07-20 21:53:58.838052,1
2023-07-20 21:53:58.901551,1
2023-07-20 21:53:58.971799,2
2023-07-20 21:53:59.072431,2
2023-07-20 21:53:59.178481,2
2023-07-20 21:53:59.251357,2
2023-07-20 21:53:59.352958,2
2023-07-20 21:53:59.461004,2
2023-07-20 21:53:59.550366,1
2023-07-20 21:53:59.654395,2
2023-07-20 21:53:59.759779,2
2023-07-20 21:53:59.863996,2
2023-07-20 21:53:59.964007,2
2023-07-20 21:54:00.057925,2
2023-07-20 21:54:00.147641,2
2023-07-20 21:54:00.231438,2
2023-07-20 21:54:00.327658,2
2023-07-20 21:54:00.420330,1
2023-07-20 21:54:00.487454,1
2023-07-20 21:54:00.600407,2
2023-07-20 21:54:00.697702,2
2023-07-20 21:54:00.793691,2
2023-07-20 21:54:00.870896,2
2023-07-20 21:54:00.968639,2
2023-07-20 21:54:01.068347,2
2023-07-20 21:54:01.173340,2
2023-07-20 21:54:01.394029,2
2023-07-20 21:54:01.673022,2
2023-07-20 21:54:01.771254,2
2023-07-20 21:54:01.872707,2
2023-07-20 21:54:01.975546,2
2023-07-20 21:54:02.071948,2
2023-07-20 21:54:02.171827,2
2023-07-20 21:54:02.408448,2
2023-07-20 21:54:02.515531,2
2023-07-20 21:54:02.605839,2
2023-07-20 21:54:02.709547,2
2023-07-20 21:54:02.808229,2
2023-07-20 21:54:02.909611,2
2023-07-20 21:54:03.005607,2
2023-07-20 21:54:03.101458,1
2023-07-20 21:54:03.266686,1
2023-07-20 21:54:03.347837,3
2023-07-20 21:54:03.451504,2
2023-07-20 21:54:03.554692,2
2023-07-20 21:54:03.651820,2
2023-07-20 21:54:03.752294,2
2023-07-20 21:54:03.852239,1
2023-07-20 21:54:03.947095,1
2023-07-20 21:54:04.047587,1
2023-07-20 21:54:04.116067,2
2023-07-20 21:54:04.411347,2
2023-07-20 21:54:04.481543,2
2023-07-20 21:54:04.552235,2
2023-07-20 21:54:04.658013,2
2023-07-20 21:54:04.759246,2
2023-07-20 21:54:04.858927,2
2023-07-20 21:54:04.962910,2
2023-07-20 21:54:05.123226,2
2023-07-20 21:54:05.231013,2
2023-07-20 21:54:05.322494,2
2023-07-20 21:54:05.417517,2
2023-07-20 21:54:05.563184,2
2023-07-20 21:54:05.663228,2
2023-07-20 21:54:05.762647,1
2023-07-20 21:54:06.053755,1
2023-07-20 21:54:06.131328,2
2023-07-20 21:54:06.237148,2
2023-07-20 21:54:06.333775,2
2023-07-20 21:54:06.703520,2
2023-07-20 21:54:06.812032,2
2023-07-20 21:54:06.911007,2
2023-07-20 21:54:07.010435,1
2023-07-20 21:54:07.113130,1
2023-07-20 21:54:07.208184,1
2023-07-20 21:54:07.302626,1
2023-07-20 21:54:07.408888,2
2023-07-20 21:54:07.507905,3
2023-07-20 21:54:07.606681,1
2023-07-20 21:54:07.709147,2
2023-07-20 21:54:07.807101,2
2023-07-20 21:54:07.909556,1
2023-07-20 21:54:08.011891,1
2023-07-20 21:54:08.110298,2
2023-07-20 21:54:08.223254,2
2023-07-20 21:54:08.386035,2
2023-07-20 21:54:08.492881,2
2023-07-20 21:54:08.591231,2
2023-07-20 21:54:08.687606,2
2023-07-20 21:54:08.791083,2
2023-07-20 21:54:08.890461,2
2023-07-20 21:54:08.984012,2
2023-07-20 21:54:09.094483,2
2023-07-20 21:54:09.249091,2
2023-07-20 21:54:09.323772,2
2023-07-20 21:54:09.427054,2
2023-07-20 21:54:09.596811,2
2023-07-20 21:54:09.693212,2
2023-07-20 21:54:09.928329,2
2023-07-20 21:54:10.087877,2
2023-07-20 21:54:10.451114,2
2023-07-20 21:54:10.525376,2
2023-07-20 21:54:10.692217,2
2023-07-20 21:54:10.796874,2
2023-07-20 21:54:11.397632,2
2023-07-20 21:54:11.492796,2
2023-07-20 21:54:11.840733,2
2023-07-20 21:54:11.930037,2
2023-07-20 21:54:12.027561,2
2023-07-20 21:54:12.129399,2
2023-07-20 21:54:12.207100,2
2023-07-20 21:54:12.430597,2
2023-07-20 21:54:12.502496,2
2023-07-20 21:54:12.673866,2
2023-07-20 21:54:12.771072,2
2023-07-20 21:54:12.941881,2
2023-07-20 21:54:13.019051,2
2023-07-20 21:54:13.117247,2
