time(s),eye_len
1689408319.480448,2
1689408319.543753,3
1689408319.6111832,1
1689408319.67664,2
1689408319.742238,2
1689408319.809909,1
1689408319.8776882,2
1689408319.943197,2
1689408320.0134459,2
1689408320.0796711,2
1689408320.146296,2
1689408320.213218,2
1689408320.286199,2
1689408320.3583949,2
1689408320.43139,2
1689408320.491202,2
1689408320.557009,2
1689408320.622751,2
1689408320.691563,2
1689408320.757417,2
1689408320.820294,2
1689408320.8887439,2
1689408320.956813,2
1689408321.025032,2
1689408321.103557,2
1689408321.165803,2
1689408321.234551,2
1689408321.298861,2
1689408321.3595011,2
1689408321.4259598,2
1689408321.4937742,2
1689408321.561036,2
1689408321.627436,2
1689408321.693526,2
1689408321.7611158,2
1689408321.825526,2
1689408321.8889441,2
1689408321.957484,2
1689408322.023713,2
1689408322.091768,1
1689408322.1543128,1
1689408322.2286878,2
1689408322.296096,2
1689408322.363273,2
1689408322.432437,2
1689408322.4987872,2
1689408322.5671942,2
1689408322.633089,2
1689408322.702355,2
1689408322.766099,2
1689408322.835586,2
1689408322.8992589,2
1689408322.9679208,2
1689408323.0331159,2
1689408323.1000042,2
1689408323.166517,2
1689408323.236337,2
1689408323.376107,1
1689408323.438466,2
1689408323.5083048,2
1689408323.6096,2
1689408323.737582,2
1689408323.814989,2
1689408323.878041,2
1689408323.9749,2
1689408324.0432692,2
1689408324.137393,2
1689408324.2405481,1
1689408324.3066828,2
1689408324.374617,2
1689408324.5142899,2
1689408324.7101529,2
1689408325.048722,2
1689408325.119144,2
1689408325.2211819,2
1689408325.284514,2
1689408325.3465972,2
1689408325.420437,2
1689408325.48454,2
1689408325.548226,2
1689408325.617298,2
1689408325.6837718,2
1689408325.7528908,2
1689408325.818305,2
1689408325.887576,2
1689408325.952258,2
1689408326.0262232,2
1689408326.090971,2
1689408326.336756,2
1689408326.429129,2
1689408326.498325,2
1689408326.664945,2
1689408326.798763,2
1689408326.996926,2
1689408327.0568871,1
1689408327.124523,2
1689408327.1989539,2
1689408328.037131,2
1689408328.3087518,2
1689408328.373882,2
1689408328.440456,1
1689408328.506714,1
1689408328.569164,2
1689408328.640052,2
1689408328.737904,1
1689408328.8715641,2
1689408329.069576,2
1689408329.14297,1
1689408329.205626,1
1689408329.311925,2
1689408329.376658,2
1689408329.475392,1
1689408329.5399392,2
1689408329.682602,2
1689408329.957577,2
1689408330.026453,2
1689408330.098884,2
1689408330.1667871,2
1689408330.224174,2
1689408330.292109,2
1689408330.355635,2
1689408330.4317088,1
1689408330.494349,1
1689408330.5637991,2
1689408330.6275609,2
1689408330.696799,2
1689408330.757748,0
1689408330.823893,1
1689408330.8975139,2
1689408330.958515,2
1689408331.026288,2
1689408331.0993369,2
1689408331.1713111,2
1689408331.239321,2
1689408331.3082418,2
1689408331.3671198,2
1689408331.43179,1
1689408331.495862,1
1689408331.564936,2
1689408331.638022,2
1689408331.7021928,2
1689408331.768959,2
1689408331.839852,2
1689408331.9140391,2
1689408331.982121,2
1689408332.049985,2
1689408332.1138299,2
1689408332.18561,2
1689408332.2519848,2
1689408332.310955,2
1689408332.37986,2
1689408332.444414,2
1689408332.517139,2
1689408332.583828,2
1689408332.646827,2
1689408332.7077708,2
1689408332.777788,2
1689408332.8427122,2
1689408332.919456,2
1689408332.988719,2
1689408333.0517461,1
1689408333.114965,1
1689408333.182784,2
1689408333.257194,2
1689408333.31794,2
1689408333.385801,2
1689408333.456936,2
1689408333.5237892,2
1689408333.587025,2
1689408333.6536372,2
1689408333.725416,2
1689408333.785982,2
1689408333.858358,2
1689408333.921155,2
1689408333.990436,2
1689408334.04686,1
1689408334.151801,2
1689408334.219348,2
1689408334.2825139,2
1689408334.4280078,2
1689408334.486887,2
1689408334.565462,2
1689408334.6394172,2
1689408334.69889,2
1689408334.760986,2
1689408334.828884,2
1689408334.895415,2
1689408334.965879,2
1689408335.031033,2
1689408335.099404,2
1689408335.161688,2
1689408335.2341352,2
1689408335.302411,2
1689408335.367124,2
1689408335.429444,2
1689408335.501225,2
1689408335.5680058,2
1689408335.638477,2
1689408335.704816,2
1689408335.768237,2
1689408335.829477,2
1689408335.90431,2
1689408335.97004,2
1689408336.035907,2
1689408336.105391,2
1689408336.170007,2
